,year,region,installed,tech,agent,category,sector,capital_costs
75,2030,R1,2030,gasboiler,A1,retrofit,residential,3.00E-08
507,2055,R1,2030,gasboiler,A1,retrofit,residential,3.00E-08
504,2055,R1,2030,gasboiler,A1,retrofit,residential,2.00E-08
534,2055,R1,2030,gasboiler,A3,retrofit,residential,1.50E-08
264,2040,R1,2030,gasboiler,A2,retrofit,residential,4.50E-08
627,2060,R1,2030,gasboiler,A3,retrofit,residential,2.25E-08
240,2040,R1,2030,gasboiler,A1,retrofit,residential,2.00E-08
626,2060,R1,2055,gasboiler,A3,retrofit,residential,144.473.682.711
299,2040,R1,2030,windturbine,A1,retrofit,power,1.334.913.537.915
334,2045,R1,2035,gasboiler,A1,retrofit,residential,262.631.575.947
192,2035,R1,2030,gasboiler,A3,retrofit,residential,4.50E-08
411,2045,R1,2040,gassupply1,A1,retrofit,gas,19.521.340.588.436
582,2060,R1,2030,gasboiler,A1,retrofit,residential,2.00E-08
313,2040,R1,2035,gassupply1,A1,retrofit,gas,3.438.807.240.892
208,2035,R1,2025,windturbine,A1,retrofit,power,408.461.676.283
54,2025,R1,2030,gasCCGT,A1,retrofit,power,11.891.171.995
217,2035,R1,2030,windturbine,A1,retrofit,power,4.004.740.613.746
469,2050,R1,2025,windturbine,A1,retrofit,power,408.461.676.283
330,2045,R1,2030,gasboiler,A1,retrofit,residential,2.00E-08
274,2040,R1,2030,gasboiler,A3,retrofit,residential,118.815.789.474
121,2030,R1,2030,windturbine,A1,retrofit,power,19.908.728.648
350,2045,R1,2040,gasboiler,A2,retrofit,residential,0.923684211
247,2040,R1,2030,heatpump,A1,retrofit,residential,3.168.421.052.632
413,2045,R1,2040,gassupply1,A1,retrofit,gas,13.014.227.058.957
596,2060,R1,2055,gasboiler,A1,retrofit,residential,577.894.730.842
344,2045,R1,2040,gasboiler,A2,retrofit,residential,0.923684211
85,2030,R1,2030,heatpump,A1,retrofit,residential,2.642.105.263.158
347,2045,R1,2040,gasboiler,A2,retrofit,residential,138.552.631.579
483,2050,R1,2030,gasCCGT,A1,retrofit,power,4.76E-03
341,2045,R1,2040,gasboiler,A1,retrofit,residential,246.315.789.474
119,2030,R1,2025,windturbine,A1,retrofit,power,612.692.514.424
607,2060,R1,2050,gasboiler,A2,retrofit,residential,0.923684211
468,2050,R1,2030,gasCCGT,A1,retrofit,power,2.38E-03
616,2060,R1,2050,gasboiler,A2,retrofit,residential,184.736.842.105
396,2045,R1,2025,windturbine,A1,retrofit,power,1.225.385.028.848
297,2040,R1,2030,windturbine,A1,retrofit,power,19.908.728.648
283,2040,R1,2030,gasboiler,A3,retrofit,residential,237.631.578.947
620,2060,R1,2055,gasboiler,A3,retrofit,residential,144.473.682.711
151,2035,R1,2025,gasboiler,A1,retrofit,residential,157.543.857.649
437,2050,R1,2045,gasboiler,A2,retrofit,residential,216.710.524.066
117,2030,R1,2030,gasCCGT,A1,retrofit,power,3.57E-03
92,2030,R1,2030,gasboiler,A2,retrofit,residential,0.990789496
332,2045,R1,2040,gasboiler,A1,retrofit,residential,123.157.894.737
255,2040,R1,2030,gasboiler,A2,retrofit,residential,2.25E-08
52,2025,R1,2030,gasboiler,A3,retrofit,residential,513.157.894.737
122,2030,R1,2025,windturbine,A1,retrofit,power,408.461.676.283
270,2040,R1,2030,gasboiler,A3,retrofit,residential,1.50E-08
403,2045,R1,2040,gassupply1,A1,retrofit,gas,6.507.113.529.479
108,2030,R1,2030,gasboiler,A3,retrofit,residential,0.990789496
321,2040,R1,2035,gassupply1,A1,retrofit,gas,10.316.421.722.675
420,2050,R1,2030,gasboiler,A1,retrofit,residential,2.00E-08
489,2050,R1,2045,gassupply1,A1,retrofit,gas,6.035.792.105.782
410,2045,R1,2035,gassupply1,A1,retrofit,gas,10.316.421.722.675
531,2055,R1,2030,gasboiler,A2,retrofit,residential,3.00E-08
157,2035,R1,2025,gasboiler,A1,retrofit,residential,472.631.572.947
265,2040,R1,2030,heatpump,A2,retrofit,residential,2.376.315.789.474
101,2030,R1,2025,gasboiler,A2,retrofit,residential,236.315.786.474
621,2060,R1,2030,gasboiler,A3,retrofit,residential,2.25E-08
131,2030,R1,2025,windturbine,A1,retrofit,power,816.923.352.565
35,2025,R1,2030,heatpump,A1,retrofit,residential,880.701.754.386
132,2030,R1,2030,gassupply1,A1,retrofit,gas,4.162.216.535.289
150,2035,R1,2030,gasboiler,A1,retrofit,residential,2.00E-08
162,2035,R1,2030,gasboiler,A2,retrofit,residential,1.50E-08
495,2050,R1,2045,gassupply1,A1,retrofit,gas,12.071.584.211.564
474,2050,R1,2030,gasCCGT,A1,retrofit,power,2.38E-03
34,2025,R1,2030,gasboiler,A1,retrofit,residential,1.4
354,2045,R1,2030,gasboiler,A2,retrofit,residential,4.50E-08
174,2035,R1,2030,gasboiler,A2,retrofit,residential,4.50E-08
138,2030,R1,2030,gassupply1,A1,retrofit,gas,6.243.324.802.933
322,2040,R1,2030,gassupply1,A1,retrofit,gas,6.913.282.366.997
62,2025,R1,2030,gasCCGT,A1,retrofit,power,35.673.515.985
357,2045,R1,2030,gasboiler,A2,retrofit,residential,3.00E-08
226,2035,R1,2025,gassupply1,A1,retrofit,gas,2.853.753.077.929
130,2030,R1,2030,windturbine,A1,retrofit,power,398.174.572.959
38,2025,R1,2030,gasboiler,A1,retrofit,residential,4.2
355,2045,R1,2035,gasboiler,A2,retrofit,residential,393.947.363.921
200,2035,R1,2025,windturbine,A1,retrofit,power,408.461.676.283
116,2030,R1,2025,windturbine,A1,retrofit,power,408.461.676.283
530,2055,R1,2050,gasboiler,A2,retrofit,residential,277.105.263.158
529,2055,R1,2045,gasboiler,A2,retrofit,residential,433.421.048.132
535,2055,R1,2045,gasboiler,A3,retrofit,residential,144.473.682.711
285,2040,R1,2030,gasboiler,A3,retrofit,residential,3.00E-08
256,2040,R1,2030,heatpump,A2,retrofit,residential,1.188.157.894.737
644,2060,R1,2055,gassupply1,A1,retrofit,gas,4.023.861.403.855
628,2060,R1,2050,gasboiler,A3,retrofit,residential,138.552.631.579
213,2035,R1,2030,windturbine,A1,retrofit,power,2.002.370.306.873
659,2060,R1,2055,gassupply1,A1,retrofit,gas,8.047.722.807.709
66,2025,R1,2030,gassupply1,A1,retrofit,gas,6.885.744.535.289
593,2060,R1,2055,gasboiler,A1,retrofit,residential,288.947.365.421
586,2060,R1,2050,gasboiler,A1,retrofit,residential,184.736.842.105
59,2025,R1,2030,windturbine,A1,retrofit,power,19.908.728.648
279,2040,R1,2030,gasboiler,A3,retrofit,residential,2.25E-08
655,2060,R1,2050,gassupply2,A1,retrofit,gas,5.643.505.330.385
455,2050,R1,2045,gasboiler,A3,retrofit,residential,216.710.524.066
578,2055,R1,2050,gassupply2,A1,retrofit,gas,5.643.505.330.385
383,2045,R1,2030,windturbine,A1,retrofit,power,29.863.092.972
532,2055,R1,2045,gasboiler,A2,retrofit,residential,288.947.365.421
100,2030,R1,2030,gasboiler,A2,retrofit,residential,132.105.266.158
472,2050,R1,2025,windturbine,A1,retrofit,power,612.692.514.424
207,2035,R1,2030,windturbine,A1,retrofit,power,19.908.728.648
262,2040,R1,2030,heatpump,A2,retrofit,residential,1.188.157.894.737
318,2040,R1,2030,gassupply1,A1,retrofit,gas,5.184.961.775.248
346,2045,R1,2035,gasboiler,A2,retrofit,residential,196.973.681.961
212,2035,R1,2025,windturbine,A1,retrofit,power,612.692.514.424
189,2035,R1,2030,gasboiler,A3,retrofit,residential,2.25E-08
267,2040,R1,2030,gasboiler,A2,retrofit,residential,3.00E-08
426,2050,R1,2030,gasboiler,A1,retrofit,residential,6.00E-08
369,2045,R1,2030,gasboiler,A3,retrofit,residential,2.25E-08
225,2035,R1,2030,gassupply1,A1,retrofit,gas,5.184.961.775.248
228,2035,R1,2025,gassupply1,A1,retrofit,gas,4.280.629.616.893
80,2030,R1,2025,gasboiler,A1,retrofit,residential,157.543.857.649
581,2055,R1,2050,gassupply2,A1,retrofit,gas,3.762.336.886.923
371,2045,R1,2040,gasboiler,A3,retrofit,residential,138.552.631.579
446,2050,R1,2045,gasboiler,A2,retrofit,residential,433.421.048.132
65,2025,R1,2030,windturbine,A1,retrofit,power,398.174.572.959
599,2060,R1,2055,gasboiler,A1,retrofit,residential,385.263.153.895
260,2040,R1,2035,gasboiler,A2,retrofit,residential,131.315.787.974
566,2055,R1,2050,gassupply2,A1,retrofit,gas,1.881.168.443.462
88,2030,R1,2030,heatpump,A1,retrofit,residential,1.761.403.508.772
41,2025,R1,2030,heatpump,A1,retrofit,residential,1.761.403.508.772
335,2045,R1,2040,gasboiler,A1,retrofit,residential,184.736.842.105
435,2050,R1,2030,gasboiler,A2,retrofit,residential,2.25E-08
284,2040,R1,2035,gasboiler,A3,retrofit,residential,393.947.363.921
248,2040,R1,2035,gasboiler,A1,retrofit,residential,525.263.151.895
496,2050,R1,2040,gassupply1,A1,retrofit,gas,13.014.227.058.957
486,2050,R1,2040,gassupply1,A1,retrofit,gas,6.507.113.529.479
110,2030,R1,2030,gasboiler,A3,retrofit,residential,198.157.899.237
106,2030,R1,2030,gasboiler,A3,retrofit,residential,0.660526331
584,2060,R1,2055,gasboiler,A1,retrofit,residential,192.631.576.947
650,2060,R1,2055,gassupply1,A1,retrofit,gas,4.023.861.403.855
182,2035,R1,2030,gasboiler,A3,retrofit,residential,0.792105263
390,2045,R1,2030,gasCCGT,A1,retrofit,power,3.57E-03
64,2025,R1,2030,gasCCGT,A1,retrofit,power,2.378.234.399
61,2025,R1,2030,windturbine,A1,retrofit,power,29.863.092.972
527,2055,R1,2050,gasboiler,A2,retrofit,residential,138.552.631.579
453,2050,R1,2030,gasboiler,A3,retrofit,residential,2.25E-08
308,2040,R1,2030,gasCCGT,A1,retrofit,power,4.76E-03
197,2035,R1,2030,gasboiler,A3,retrofit,residential,158.421.052.632
329,2045,R1,2040,gasboiler,A1,retrofit,residential,184.736.842.105
304,2040,R1,2030,gasCCGT,A1,retrofit,power,7.13E-03
49,2025,R1,2030,gasboiler,A3,retrofit,residential,256.578.947.368
548,2055,R1,2050,gasboiler,A3,retrofit,residential,277.105.263.158
74,2030,R1,2025,gasboiler,A1,retrofit,residential,157.543.857.649
418,2050,R1,2040,gasboiler,A1,retrofit,residential,184.736.842.105
43,2025,R1,2030,gasboiler,A2,retrofit,residential,256.578.947.368
651,2060,R1,2050,gassupply1,A1,retrofit,gas,8.170.584
339,2045,R1,2030,gasboiler,A1,retrofit,residential,4.00E-08
377,2045,R1,2040,gasboiler,A3,retrofit,residential,184.736.842.105
205,2035,R1,2030,windturbine,A1,retrofit,power,2.002.370.306.873
378,2045,R1,2030,gasCCGT,A1,retrofit,power,2.38E-03
540,2055,R1,2030,gasboiler,A3,retrofit,residential,1.50E-08
523,2055,R1,2045,gasboiler,A2,retrofit,residential,144.473.682.711
82,2030,R1,2030,heatpump,A1,retrofit,residential,1.321.052.631.579
461,2050,R1,2045,gasboiler,A3,retrofit,residential,216.710.524.066
137,2030,R1,2025,gassupply1,A1,retrofit,gas,2.853.753.077.929
118,2030,R1,2030,windturbine,A1,retrofit,power,29.863.092.972
508,2055,R1,2045,gasboiler,A1,retrofit,residential,288.947.365.421
487,2050,R1,2045,gassupply1,A1,retrofit,gas,4.023.861.403.855
259,2040,R1,2030,heatpump,A2,retrofit,residential,792.105.263.158
595,2060,R1,2050,gasboiler,A1,retrofit,residential,369.473.684.211
493,2050,R1,2045,gassupply1,A1,retrofit,gas,6.035.792.105.782
526,2055,R1,2045,gasboiler,A2,retrofit,residential,216.710.524.066
356,2045,R1,2040,gasboiler,A2,retrofit,residential,277.105.263.158
