Unnamed: 0,year,region,installed,technology,year,agent,emission_costs,category,sector
852,2060,R1,2025,gasboiler,2060,A1,0,newcapa,residential
853,2045,R1,2035,gasboiler,2045,A1,0,retrofit,residential
854,2050,R1,2040,gasboiler,2050,A3,0,retrofit,residential
855,2060,R1,2025,gasboiler,2060,A1,0,retrofit,residential
856,2030,R1,2030,gassupply1,2030,A1,0,retrofit,gas
857,2045,R1,2045,gasboiler,2045,A3,0,newcapa,residential
858,2040,R1,2025,windturbine,2040,A1,0,newcapa,power
859,2030,R1,2030,heatpump,2030,A1,0,newcapa,residential
860,2045,R1,2040,gassupply1,2045,A1,0,retrofit,gas
861,2035,R1,2025,windturbine,2035,A1,0,newcapa,power
862,2030,R1,2025,gassupply1,2030,A1,0,newcapa,gas
863,2060,R1,2055,gasboiler,2060,A1,0,retrofit,residential
864,2045,R1,2025,gasboiler,2045,A3,0,retrofit,residential
865,2035,R1,2025,gasboiler,2035,A3,0,retrofit,residential
866,2060,R1,2055,gassupply1,2060,A1,0,newcapa,gas
867,2045,R1,2030,windturbine,2045,A1,0,newcapa,power
868,2055,R1,2050,gasboiler,2055,A3,0,newcapa,residential
869,2035,R1,2035,gasboiler,2035,A1,0,newcapa,residential
870,2025,R1,2025,gasboiler,2025,A2,0,retrofit,residential
871,2050,R1,2045,gassupply1,2050,A1,0,retrofit,gas
872,2025,R1,2025,gasboiler,2025,A2,0,retrofit,residential
873,2045,R1,2025,windturbine,2045,A1,0,retrofit,power
874,2060,R1,2050,gasboiler,2060,A3,0,retrofit,residential
875,2050,R1,2025,gasboiler,2050,A2,0,retrofit,residential
876,2060,R1,2055,gasboiler,2060,A3,0,newcapa,residential
877,2060,R1,2060,gassupply1,2060,A1,0,retrofit,gas
878,2055,R1,2025,gasCCGT,2055,A1,0,newcapa,power
879,2060,R1,2035,gassupply1,2060,A1,0,newcapa,gas
880,2050,R1,2025,gasboiler,2050,A3,0,retrofit,residential
881,2045,R1,2025,windturbine,2045,A1,0,retrofit,power
882,2055,R1,2045,gasboiler,2055,A1,0,newcapa,residential
883,2045,R1,2045,gasboiler,2045,A3,0,newcapa,residential
884,2055,R1,2025,windturbine,2055,A1,0,newcapa,power
885,2060,R1,2050,gasboiler,2060,A1,0,newcapa,residential
886,2055,R1,2025,gasCCGT,2055,A1,0,newcapa,power
887,2045,R1,2025,windturbine,2045,A1,0,newcapa,power
888,2050,R1,2050,gassupply1,2050,A1,0,retrofit,gas
889,2060,R1,2025,gasboiler,2060,A1,0,newcapa,residential
890,2060,R1,2040,gassupply1,2060,A1,0,newcapa,gas
891,2035,R1,2030,windturbine,2035,A1,0,newcapa,power
892,2025,R1,2025,gasboiler,2025,A3,0,retrofit,residential
893,2060,R1,2025,gasboiler,2060,A2,0,newcapa,residential
894,2030,R1,2025,windturbine,2030,A1,0,retrofit,power
895,2035,R1,2025,gasCCGT,2035,A1,0,retrofit,power
896,2050,R1,2025,windturbine,2050,A1,0,newcapa,power
897,2050,R1,2050,gassupply1,2050,A1,0,retrofit,gas
898,2035,R1,2035,gasboiler,2035,A2,0,retrofit,residential
899,2055,R1,2055,gasboiler,2055,A1,0,retrofit,residential
900,2055,R1,2035,gasboiler,2055,A2,0,newcapa,residential
901,2060,R1,2050,gasboiler,2060,A1,0,newcapa,residential
902,2035,R1,2025,windturbine,2035,A1,0,retrofit,power
903,2030,R1,2025,gasboiler,2030,A1,0,retrofit,residential
904,2055,R1,2035,gassupply1,2055,A1,0,newcapa,gas
905,2035,R1,2030,windturbine,2035,A1,0,newcapa,power
906,2030,R1,2030,gasboiler,2030,A3,0,retrofit,residential
907,2025,R1,2025,gasboiler,2025,A2,0,retrofit,residential
908,2050,R1,2050,gasboiler,2050,A2,0,retrofit,residential
909,2050,R1,2040,gassupply1,2050,A1,0,newcapa,gas
910,2050,R1,2040,gasboiler,2050,A1,0,newcapa,residential
911,2030,R1,2025,gasCCGT,2030,A1,0,newcapa,power
912,2030,R1,2025,gasboiler,2030,A2,0,retrofit,residential
913,2055,R1,2055,gasboiler,2055,A3,0,retrofit,residential
914,2060,R1,2055,gasboiler,2060,A2,0,retrofit,residential
915,2055,R1,2050,gasboiler,2055,A1,0,retrofit,residential
916,2055,R1,2040,gassupply1,2055,A1,0,newcapa,gas
917,2040,R1,2040,gasboiler,2040,A3,0,retrofit,residential
918,2030,R1,2025,gasboiler,2030,A1,0,retrofit,residential
919,2060,R1,2050,gasboiler,2060,A1,0,newcapa,residential
920,2045,R1,2045,gasboiler,2045,A2,0,newcapa,residential
921,2060,R1,2035,gassupply1,2060,A1,0,newcapa,gas
922,2055,R1,2050,gassupply1,2055,A1,0,retrofit,gas
923,2045,R1,2045,gasboiler,2045,A1,0,retrofit,residential
924,2045,R1,2025,windturbine,2045,A1,0,newcapa,power
925,2045,R1,2045,gasboiler,2045,A2,0,retrofit,residential
926,2050,R1,2050,gassupply2,2050,A1,0,retrofit,gas
927,2045,R1,2035,gasboiler,2045,A2,0,retrofit,residential
928,2030,R1,2025,windturbine,2030,A1,0,retrofit,power
929,2050,R1,2025,gasboiler,2050,A2,0,retrofit,residential
930,2060,R1,2050,gassupply2,2060,A1,0,newcapa,gas
931,2030,R1,2025,gasCCGT,2030,A1,0,retrofit,power
932,2030,R1,2025,windturbine,2030,A1,0,retrofit,power
933,2040,R1,2035,gasboiler,2040,A3,0,retrofit,residential
934,2045,R1,2025,gasboiler,2045,A1,0,retrofit,residential
935,2045,R1,2040,gassupply1,2045,A1,0,retrofit,gas
936,2035,R1,2035,gassupply1,2035,A1,0,newcapa,gas
937,2025,R1,2025,gasboiler,2025,A1,0,retrofit,residential
938,2025,R1,2025,gasboiler,2025,A2,0,retrofit,residential
939,2030,R1,2025,gassupply1,2030,A1,0,retrofit,gas
940,2025,R1,2025,gasboiler,2025,A1,0,retrofit,residential
941,2025,R1,2025,windturbine,2025,A1,0,retrofit,power
942,2060,R1,2045,gasboiler,2060,A3,0,newcapa,residential
943,2055,R1,2025,windturbine,2055,A1,0,newcapa,power
944,2030,R1,2025,gasboiler,2030,A1,0,retrofit,residential
945,2055,R1,2025,gasboiler,2055,A2,0,retrofit,residential
946,2050,R1,2025,gasCCGT,2050,A1,0,retrofit,power
947,2050,R1,2030,windturbine,2050,A1,0,retrofit,power
948,2030,R1,2025,windturbine,2030,A1,0,newcapa,power
949,2060,R1,2050,gassupply2,2060,A1,0,newcapa,gas
950,2035,R1,2030,windturbine,2035,A1,0,retrofit,power
951,2055,R1,2040,gasboiler,2055,A3,0,newcapa,residential
952,2045,R1,2025,gasCCGT,2045,A1,0,newcapa,power
953,2050,R1,2040,gassupply1,2050,A1,0,retrofit,gas
954,2060,R1,2035,gasboiler,2060,A1,0,newcapa,residential
955,2040,R1,2030,heatpump,2040,A1,0,retrofit,residential
956,2025,R1,2025,gasboiler,2025,A1,0,newcapa,residential
957,2050,R1,2050,gassupply1,2050,A1,0,retrofit,gas
958,2035,R1,2035,gasboiler,2035,A2,0,retrofit,residential
959,2050,R1,2025,gasCCGT,2050,A1,0,retrofit,power
960,2050,R1,2040,gasboiler,2050,A1,0,newcapa,residential
961,2050,R1,2045,gassupply1,2050,A1,0,retrofit,gas
962,2060,R1,2045,gassupply1,2060,A1,0,newcapa,gas
963,2025,R1,2025,gasboiler,2025,A2,0,newcapa,residential
964,2040,R1,2025,windturbine,2040,A1,0,retrofit,power
965,2050,R1,2045,gassupply1,2050,A1,0,newcapa,gas
966,2030,R1,2025,gassupply1,2030,A1,0,retrofit,gas
967,2030,R1,2030,windturbine,2030,A1,0,retrofit,power
968,2035,R1,2025,gassupply1,2035,A1,0,retrofit,gas
969,2055,R1,2035,gasboiler,2055,A1,0,newcapa,residential
970,2035,R1,2035,gassupply1,2035,A1,0,newcapa,gas
971,2055,R1,2050,gasboiler,2055,A3,0,retrofit,residential
972,2060,R1,2050,gasboiler,2060,A3,0,retrofit,residential
973,2045,R1,2025,gasCCGT,2045,A1,0,newcapa,power
974,2025,R1,2025,gasboiler,2025,A3,0,newcapa,residential
975,2045,R1,2040,gasboiler,2045,A3,0,retrofit,residential
976,2035,R1,2035,gasboiler,2035,A3,0,retrofit,residential
977,2025,R1,2025,gassupply1,2025,A1,0,retrofit,gas
978,2055,R1,2050,gassupply2,2055,A1,0,newcapa,gas
979,2060,R1,2025,gasCCGT,2060,A1,0,newcapa,power
980,2050,R1,2040,gasboiler,2050,A2,0,retrofit,residential
981,2040,R1,2025,gasCCGT,2040,A1,0,retrofit,power
982,2055,R1,2025,gasboiler,2055,A3,0,retrofit,residential
983,2060,R1,2060,gassupply2,2060,A1,0,retrofit,gas
984,2045,R1,2035,gasboiler,2045,A3,0,retrofit,residential
985,2025,R1,2025,gasboiler,2025,A1,0,retrofit,residential
986,2055,R1,2055,gasboiler,2055,A1,0,retrofit,residential
987,2040,R1,2025,gasCCGT,2040,A1,0,newcapa,power
988,2060,R1,2060,gasboiler,2060,A2,0,retrofit,residential
989,2030,R1,2025,gasboiler,2030,A3,0,retrofit,residential
990,2040,R1,2040,gasboiler,2040,A2,0,newcapa,residential
991,2050,R1,2035,gasboiler,2050,A2,0,newcapa,residential
992,2050,R1,2040,gasboiler,2050,A3,0,retrofit,residential
993,2045,R1,2025,windturbine,2045,A1,0,retrofit,power
994,2030,R1,2025,gasboiler,2030,A1,0,retrofit,residential
995,2050,R1,2035,gassupply1,2050,A1,0,newcapa,gas
996,2060,R1,2025,gasCCGT,2060,A1,0,retrofit,power
997,2045,R1,2040,gasboiler,2045,A2,0,retrofit,residential
998,2045,R1,2045,gasboiler,2045,A1,0,retrofit,residential
999,2050,R1,2050,gasboiler,2050,A2,0,retrofit,residential
1000,2060,R1,2045,gasboiler,2060,A2,0,newcapa,residential
1001,2050,R1,2040,gasboiler,2050,A2,0,newcapa,residential
1002,2055,R1,2055,gasboiler,2055,A2,0,retrofit,residential
1003,2045,R1,2025,gasboiler,2045,A3,0,retrofit,residential
1004,2055,R1,2040,gassupply1,2055,A1,0,newcapa,gas
1005,2055,R1,2050,gassupply1,2055,A1,0,newcapa,gas
1006,2055,R1,2040,gasboiler,2055,A2,0,newcapa,residential
1007,2060,R1,2025,gasboiler,2060,A1,0,retrofit,residential
1008,2060,R1,2035,gasboiler,2060,A1,0,newcapa,residential
1009,2030,R1,2025,gassupply1,2030,A1,0,newcapa,gas
1010,2060,R1,2045,gasboiler,2060,A3,0,newcapa,residential
1011,2060,R1,2045,gassupply1,2060,A1,0,newcapa,gas
1012,2060,R1,2025,windturbine,2060,A1,0,newcapa,power
1013,2060,R1,2025,gasCCGT,2060,A1,0,newcapa,power
1014,2035,R1,2030,gassupply1,2035,A1,0,retrofit,gas
1015,2040,R1,2040,gasboiler,2040,A2,0,newcapa,residential
1016,2055,R1,2045,gasboiler,2055,A2,0,newcapa,residential
1017,2050,R1,2025,gasboiler,2050,A3,0,retrofit,residential
1018,2040,R1,2040,gasboiler,2040,A1,0,retrofit,residential
