Unnamed: 0,year,region,installed,technology,year,agent,emission_costs,category,sector
310,2055,R1,2055,gassupply1,2055,A1,0,retrofit,gas
311,2050,R1,2045,gassupply1,2050,A1,0,retrofit,gas
312,2025,R1,2025,gasboiler,2025,A2,0,newcapa,residential
313,2060,R1,2025,windturbine,2060,A1,0,newcapa,power
314,2025,R1,2025,gasboiler,2025,A2,0,retrofit,residential
315,2060,R1,2055,gasboiler,2060,A2,0,newcapa,residential
316,2055,R1,2040,gasboiler,2055,A2,0,newcapa,residential
317,2040,R1,2035,gasboiler,2040,A2,0,retrofit,residential
318,2045,R1,2045,gasboiler,2045,A3,0,retrofit,residential
319,2055,R1,2055,gasboiler,2055,A1,0,retrofit,residential
320,2025,R1,2025,gasboiler,2025,A1,0,retrofit,residential
321,2045,R1,2045,gasboiler,2045,A1,0,newcapa,residential
322,2040,R1,2040,gassupply1,2040,A1,0,retrofit,gas
323,2040,R1,2040,gasboiler,2040,A2,0,retrofit,residential
324,2060,R1,2035,gasboiler,2060,A2,0,newcapa,residential
325,2030,R1,2025,heatpump,2030,A1,0,retrofit,residential
326,2030,R1,2025,heatpump,2030,A1,0,retrofit,residential
327,2055,R1,2050,gassupply1,2055,A1,0,retrofit,gas
328,2060,R1,2055,gasboiler,2060,A2,0,retrofit,residential
329,2030,R1,2025,windturbine,2030,A1,0,newcapa,power
330,2030,R1,2030,heatpump,2030,A2,0,newcapa,residential
331,2040,R1,2040,gasboiler,2040,A1,0,newcapa,residential
332,2060,R1,2025,gasboiler,2060,A2,0,newcapa,residential
333,2040,R1,2030,heatpump,2040,A1,0,retrofit,residential
334,2060,R1,2055,gassupply1,2060,A1,0,newcapa,gas
335,2035,R1,2035,gasboiler,2035,A1,0,retrofit,residential
336,2040,R1,2040,gasboiler,2040,A2,0,retrofit,residential
337,2060,R1,2055,gasboiler,2060,A3,0,newcapa,residential
338,2060,R1,2050,gasboiler,2060,A3,0,newcapa,residential
339,2050,R1,2035,gasboiler,2050,A1,0,newcapa,residential
340,2055,R1,2025,gasboiler,2055,A1,0,retrofit,residential
341,2030,R1,2025,gasboiler,2030,A1,0,retrofit,residential
342,2055,R1,2050,gasboiler,2055,A3,0,newcapa,residential
343,2035,R1,2030,gasboiler,2035,A3,0,retrofit,residential
344,2035,R1,2025,gasCCGT,2035,A1,0,newcapa,power
345,2055,R1,2030,windturbine,2055,A1,0,retrofit,power
346,2035,R1,2030,windturbine,2035,A1,0,retrofit,power
347,2045,R1,2030,windturbine,2045,A1,0,newcapa,power
348,2050,R1,2025,gasboiler,2050,A2,0,newcapa,residential
349,2035,R1,2025,gasboiler,2035,A2,0,retrofit,residential
350,2035,R1,2035,gassupply1,2035,A1,0,retrofit,gas
351,2025,R1,2025,windturbine,2025,A1,0,retrofit,power
352,2045,R1,2035,gassupply1,2045,A1,0,retrofit,gas
353,2050,R1,2045,gasboiler,2050,A3,0,retrofit,residential
354,2035,R1,2025,windturbine,2035,A1,0,newcapa,power
355,2030,R1,2030,gassupply1,2030,A1,0,retrofit,gas
356,2050,R1,2035,gasboiler,2050,A1,0,newcapa,residential
357,2045,R1,2040,gasboiler,2045,A1,0,retrofit,residential
358,2050,R1,2045,gasboiler,2050,A3,0,newcapa,residential
359,2035,R1,2025,gassupply1,2035,A1,0,retrofit,gas
360,2030,R1,2025,gasboiler,2030,A1,0,retrofit,residential
361,2055,R1,2045,gasboiler,2055,A1,0,retrofit,residential
362,2055,R1,2035,gasboiler,2055,A2,0,newcapa,residential
363,2035,R1,2025,gassupply1,2035,A1,0,retrofit,gas
364,2040,R1,2040,gasboiler,2040,A3,0,newcapa,residential
365,2050,R1,2045,gasboiler,2050,A3,0,newcapa,residential
366,2050,R1,2030,windturbine,2050,A1,0,newcapa,power
367,2050,R1,2040,gassupply1,2050,A1,0,newcapa,gas
368,2040,R1,2035,gassupply1,2040,A1,0,retrofit,gas
369,2060,R1,2050,gassupply2,2060,A1,0,newcapa,gas
370,2040,R1,2035,gasboiler,2040,A1,0,retrofit,residential
371,2050,R1,2025,windturbine,2050,A1,0,newcapa,power
372,2035,R1,2035,gassupply1,2035,A1,0,retrofit,gas
373,2030,R1,2025,gasCCGT,2030,A1,0,retrofit,power
374,2030,R1,2025,gasboiler,2030,A2,0,retrofit,residential
375,2030,R1,2025,gasboiler,2030,A3,0,retrofit,residential
376,2050,R1,2045,gasboiler,2050,A3,0,newcapa,residential
377,2050,R1,2045,gasboiler,2050,A2,0,retrofit,residential
378,2055,R1,2050,gasboiler,2055,A2,0,retrofit,residential
379,2040,R1,2035,gasboiler,2040,A1,0,retrofit,residential
380,2060,R1,2025,gasboiler,2060,A2,0,retrofit,residential
381,2040,R1,2040,gasboiler,2040,A1,0,newcapa,residential
382,2045,R1,2025,gasboiler,2045,A1,0,retrofit,residential
383,2030,R1,2030,windturbine,2030,A1,0,retrofit,power
384,2050,R1,2025,gasboiler,2050,A3,0,newcapa,residential
385,2060,R1,2025,gasboiler,2060,A3,0,newcapa,residential
386,2050,R1,2040,gasboiler,2050,A1,0,newcapa,residential
387,2050,R1,2040,gassupply1,2050,A1,0,newcapa,gas
388,2025,R1,2025,gassupply1,2025,A1,0,retrofit,gas
389,2060,R1,2035,gasboiler,2060,A3,0,newcapa,residential
390,2050,R1,2045,gasboiler,2050,A2,0,newcapa,residential
391,2045,R1,2040,gasboiler,2045,A3,0,retrofit,residential
392,2045,R1,2045,gasboiler,2045,A3,0,retrofit,residential
393,2055,R1,2050,gasboiler,2055,A3,0,retrofit,residential
394,2030,R1,2030,gasboiler,2030,A3,0,retrofit,residential
395,2045,R1,2030,windturbine,2045,A1,0,newcapa,power
396,2050,R1,2025,gasboiler,2050,A3,0,retrofit,residential
397,2040,R1,2040,gassupply1,2040,A1,0,newcapa,gas
398,2040,R1,2025,gasCCGT,2040,A1,0,retrofit,power
399,2045,R1,2025,windturbine,2045,A1,0,retrofit,power
400,2050,R1,2025,gasboiler,2050,A2,0,newcapa,residential
401,2040,R1,2035,gasboiler,2040,A2,0,retrofit,residential
402,2050,R1,2045,gasboiler,2050,A1,0,newcapa,residential
403,2035,R1,2030,windturbine,2035,A1,0,newcapa,power
404,2045,R1,2025,gasboiler,2045,A3,0,retrofit,residential
405,2045,R1,2045,gasboiler,2045,A2,0,retrofit,residential
406,2050,R1,2045,gasboiler,2050,A2,0,retrofit,residential
407,2040,R1,2025,windturbine,2040,A1,0,retrofit,power
408,2055,R1,2025,gasboiler,2055,A2,0,retrofit,residential
409,2045,R1,2040,gassupply1,2045,A1,0,retrofit,gas
410,2060,R1,2050,gassupply1,2060,A1,0,retrofit,gas
411,2040,R1,2030,gassupply1,2040,A1,0,retrofit,gas
412,2035,R1,2035,gasboiler,2035,A2,0,newcapa,residential
413,2050,R1,2035,gassupply1,2050,A1,0,newcapa,gas
414,2050,R1,2025,gasCCGT,2050,A1,0,newcapa,power
415,2060,R1,2040,gassupply1,2060,A1,0,newcapa,gas
416,2055,R1,2050,gassupply2,2055,A1,0,retrofit,gas
417,2055,R1,2030,windturbine,2055,A1,0,newcapa,power
418,2030,R1,2030,heatpump,2030,A1,0,newcapa,residential
419,2055,R1,2025,windturbine,2055,A1,0,newcapa,power
420,2055,R1,2050,gasboiler,2055,A3,0,newcapa,residential
421,2040,R1,2040,gasboiler,2040,A3,0,retrofit,residential
422,2050,R1,2030,windturbine,2050,A1,0,retrofit,power
423,2055,R1,2055,gassupply1,2055,A1,0,retrofit,gas
424,2055,R1,2050,gasboiler,2055,A1,0,newcapa,residential
