,year,region,technology,agent,category,sector,EAC
399,2035,R1,windturbine,A1,retrofit,power,299.896.246.467
400,2060,R1,heatpump,A1,retrofit,residential,1.377.089.138.925
401,2030,R1,gassupply3,A1,retrofit,gas,22.264.019.840.068
402,2060,R1,gasboiler,A2,retrofit,residential,896.643.847.883
403,2055,R1,gasCCGT,A1,retrofit,power,0
404,2025,R1,gassupply3,A1,retrofit,gas,63.390.537.989.026
405,2055,R1,gassupply3,A1,retrofit,gas,49.776.944.474.218
406,2060,R1,heatpump,A3,retrofit,residential,1.297.951.734.984
407,2040,R1,gasboiler,A1,retrofit,residential,105.041.290.617
408,2060,R1,gassupply2,A1,retrofit,gas,2.310.557.511.833
409,2040,R1,gasCCGT,A1,retrofit,power,538.080.358.376
410,2055,R1,gasCCGT,A1,retrofit,power,0
411,2040,R1,gasboiler,A1,retrofit,residential,105.041.290.617
412,2060,R1,gasCCGT,A1,retrofit,power,0
413,2025,R1,gasCCGT,A1,retrofit,power,373.846.995.111
414,2030,R1,gassupply3,A1,retrofit,gas,64.626.972.281.711
415,2050,R1,windturbine,A1,retrofit,power,0
416,2035,R1,gasboiler,A3,retrofit,residential,490.741.041.115
417,2040,R1,heatpump,A3,retrofit,residential,919.684.203.723
418,2045,R1,gasboiler,A3,retrofit,residential,194.445.474.987
419,2050,R1,heatpump,A1,retrofit,residential,1.379.526.305.585
420,2050,R1,gasboiler,A1,retrofit,residential,119.796.229.717
421,2040,R1,gasboiler,A1,retrofit,residential,2.440.100.078.268
422,2045,R1,heatpump,A2,retrofit,residential,1.231.120.779.316
423,2050,R1,heatpump,A1,retrofit,residential,1.379.526.305.585
424,2060,R1,gasboiler,A1,retrofit,residential,772.935.443.204
425,2045,R1,heatpump,A2,retrofit,residential,977.164.466.456
426,2040,R1,gasCCGT,A1,retrofit,power,340.208.723.947
427,2050,R1,windturbine,A1,retrofit,power,0
428,2045,R1,windturbine,A1,retrofit,power,0
429,2045,R1,windturbine,A1,retrofit,power,0
430,2025,R1,gassupply2,A1,retrofit,gas,4.324.260.891.443
431,2040,R1,heatpump,A1,retrofit,residential,1.226.245.604.964
432,2030,R1,gassupply3,A1,retrofit,gas,22.264.019.840.068
433,2035,R1,gassupply1,A1,retrofit,gas,14.918.120.506.423
434,2055,R1,heatpump,A1,retrofit,residential,960.156.853.923
435,2045,R1,heatpump,A3,retrofit,residential,680.474.428.833
436,2030,R1,windturbine,A1,retrofit,power,211.171.211.477
437,2055,R1,gassupply2,A1,retrofit,gas,65.803.726.809.125
438,2040,R1,gasboiler,A2,retrofit,residential,787.809.679.627
439,2060,R1,gasCCGT,A1,retrofit,power,0
440,2025,R1,gasboiler,A1,retrofit,residential,576.282.458.457
441,2030,R1,heatpump,A1,retrofit,residential,1.098.971.360.242
442,2025,R1,gasboiler,A1,retrofit,residential,1.238.052.285.422
443,2050,R1,gasboiler,A3,retrofit,residential,580.086.278.372
444,2055,R1,gasCCGT,A1,retrofit,power,0
445,2040,R1,gassupply1,A1,retrofit,gas,16.301.220.855.511
446,2030,R1,heatpump,A2,retrofit,residential,1.050.990.905.502
447,2050,R1,gassupply1,A1,retrofit,gas,12.842.227.667.764
448,2025,R1,gasCCGT,A1,retrofit,power,261.944.295.136
449,2050,R1,gassupply3,A1,retrofit,gas,49.776.944.474.218
450,2045,R1,gasboiler,A1,retrofit,residential,1.551.613.810.313
451,2045,R1,gassupply1,A1,retrofit,gas,12.140.881.374.134
452,2035,R1,heatpump,A1,retrofit,residential,1.509.056.394.178
453,2050,R1,windturbine,A1,retrofit,power,0
454,2050,R1,heatpump,A1,retrofit,residential,960.669.781.881
455,2040,R1,gassupply1,A1,retrofit,gas,23.125.028.718.391
456,2045,R1,gasboiler,A3,retrofit,residential,837.047.784.604
457,2025,R1,heatpump,A3,retrofit,residential,954.712.943.903
458,2025,R1,gasboiler,A3,retrofit,residential,66.642.081.896
459,2060,R1,gasboiler,A2,retrofit,residential,579.701.582.403
460,2055,R1,gassupply2,A1,retrofit,gas,2.310.557.511.833
461,2035,R1,heatpump,A3,retrofit,residential,886.421.718.274
462,2025,R1,heatpump,A1,retrofit,residential,698.331.629.081
463,2030,R1,heatpump,A2,retrofit,residential,56.883.692.702
464,2040,R1,gasboiler,A1,retrofit,residential,682.950.303.624
465,2050,R1,gasboiler,A2,retrofit,residential,1.260.103.476.709
466,2025,R1,heatpump,A2,retrofit,residential,754.563.279.113
467,2045,R1,gasCCGT,A1,retrofit,power,0
468,2050,R1,gasboiler,A2,retrofit,residential,898.471.722.878
469,2045,R1,gassupply2,A1,retrofit,gas,32.510.179.262.234
470,2025,R1,gassupply1,A1,retrofit,gas,16.279.952.488.857
471,2055,R1,heatpump,A3,retrofit,residential,1.032.816.854.194
472,2040,R1,heatpump,A1,retrofit,residential,1.544.935.879.927
473,2030,R1,gasboiler,A3,retrofit,residential,751.820.196.329
474,2045,R1,heatpump,A3,retrofit,residential,1.231.120.779.316
475,2055,R1,windturbine,A1,retrofit,power,0
476,2050,R1,heatpump,A3,retrofit,residential,1.303.539.648.688
477,2055,R1,heatpump,A3,retrofit,residential,1.598.510.205.888
478,2060,R1,heatpump,A3,retrofit,residential,1.032.816.854.194
479,2030,R1,heatpump,A3,retrofit,residential,56.883.692.702
480,2035,R1,gasboiler,A2,retrofit,residential,490.741.041.115
481,2050,R1,heatpump,A3,retrofit,residential,720.502.336.411
482,2045,R1,heatpump,A1,retrofit,residential,907.299.238.443
483,2045,R1,gassupply2,A1,retrofit,gas,32.510.179.262.234
484,2060,R1,gassupply3,A1,retrofit,gas,33.368.922.565.193
485,2055,R1,gasboiler,A3,retrofit,residential,579.701.582.403
486,2060,R1,gasCCGT,A1,retrofit,power,0
487,2060,R1,heatpump,A1,retrofit,residential,2.131.346.941.184
488,2035,R1,heatpump,A3,retrofit,residential,610.960.222.556
489,2035,R1,windturbine,A1,retrofit,power,299.896.246.467
