Unnamed: 0,year,region,installed,technology,agent,category,sector,fuel_consumption_costs
432,2060,R1,2060,gasboiler,A2,retrofit,residential,0
433,2060,R1,2060,gasboiler,A3,retrofit,residential,0
434,2060,R1,2060,gasboiler,A2,retrofit,residential,0
435,2040,R1,2025,gasboiler,A2,retrofit,residential,0
436,2060,R1,2045,gasboiler,A2,newcapa,residential,0
437,2060,R1,2045,gasboiler,A3,newcapa,residential,0
438,2040,R1,2025,gasCCGT,A1,retrofit,power,2.63E-05
439,2025,R1,2025,gasCCGT,A1,retrofit,power,0
440,2035,R1,2035,gasboiler,A1,newcapa,residential,0
441,2050,R1,2040,gasboiler,A2,newcapa,residential,0
442,2030,R1,2025,gasboiler,A1,retrofit,residential,0
443,2050,R1,2025,gasboiler,A3,retrofit,residential,8.80E-09
444,2060,R1,2050,gasboiler,A2,retrofit,residential,0.177456129
445,2050,R1,2050,gasboiler,A3,retrofit,residential,0
446,2025,R1,2025,gasboiler,A3,retrofit,residential,0
447,2035,R1,2025,gasCCGT,A1,newcapa,power,0
448,2040,R1,2025,windturbine,A1,newcapa,power,0
449,2030,R1,2030,gasboiler,A3,newcapa,residential,0
450,2035,R1,2035,gasboiler,A3,newcapa,residential,0
451,2060,R1,2060,gasboiler,A1,retrofit,residential,0
452,2055,R1,2025,gasboiler,A2,retrofit,residential,2.88E-09
453,2060,R1,2040,gasboiler,A1,newcapa,residential,0
454,2040,R1,2030,windturbine,A1,retrofit,power,0
455,2045,R1,2025,windturbine,A1,retrofit,power,0
456,2050,R1,2025,gasboiler,A1,newcapa,residential,0
457,2030,R1,2030,gasboiler,A3,newcapa,residential,0
458,2025,R1,2025,gasboiler,A3,retrofit,residential,0
459,2035,R1,2030,windturbine,A1,retrofit,power,0
460,2050,R1,2025,gasCCGT,A1,retrofit,power,0
461,2050,R1,2045,gasboiler,A2,newcapa,residential,0
462,2025,R1,2025,gasboiler,A2,newcapa,residential,0
463,2045,R1,2045,gasboiler,A2,newcapa,residential,0
464,2030,R1,2025,gasboiler,A2,retrofit,residential,0
465,2040,R1,2025,gasboiler,A3,retrofit,residential,2.64E-09
466,2030,R1,2025,windturbine,A1,newcapa,power,0
467,2055,R1,2025,gasboiler,A2,retrofit,residential,0
468,2030,R1,2025,gasboiler,A1,retrofit,residential,0.277399266
469,2045,R1,2025,gasboiler,A1,retrofit,residential,0
470,2035,R1,2025,gasboiler,A2,retrofit,residential,0
471,2045,R1,2025,gasCCGT,A1,retrofit,power,0
472,2045,R1,2045,gasboiler,A3,retrofit,residential,0
473,2030,R1,2025,gasboiler,A1,retrofit,residential,3.52E-09
474,2055,R1,2025,gasboiler,A3,newcapa,residential,0
475,2055,R1,2055,gasboiler,A2,retrofit,residential,0
476,2050,R1,2025,gasboiler,A1,newcapa,residential,0
477,2050,R1,2025,gasboiler,A1,newcapa,residential,0
478,2060,R1,2050,gasboiler,A3,retrofit,residential,138.659.596.619
479,2040,R1,2030,gasboiler,A3,retrofit,residential,0.464872213
480,2045,R1,2045,gasboiler,A3,retrofit,residential,0
481,2035,R1,2025,gasboiler,A1,retrofit,residential,0
482,2030,R1,2025,windturbine,A1,retrofit,power,0
483,2045,R1,2025,windturbine,A1,newcapa,power,0
484,2040,R1,2025,gasCCGT,A1,retrofit,power,0
485,2035,R1,2035,gasboiler,A3,newcapa,residential,0
486,2045,R1,2045,gasboiler,A1,newcapa,residential,0
487,2055,R1,2055,gasboiler,A1,retrofit,residential,0
488,2035,R1,2035,gasboiler,A1,retrofit,residential,0
489,2035,R1,2030,windturbine,A1,newcapa,power,0
490,2025,R1,2025,gasboiler,A3,newcapa,residential,0
491,2055,R1,2045,gasboiler,A1,retrofit,residential,0
492,2055,R1,2025,gasCCGT,A1,newcapa,power,0
493,2050,R1,2045,gasboiler,A2,retrofit,residential,0
494,2035,R1,2025,gasCCGT,A1,newcapa,power,0
495,2055,R1,2045,gasboiler,A3,retrofit,residential,216.877.828.357
496,2050,R1,2025,gasboiler,A3,retrofit,residential,0
497,2040,R1,2040,gasboiler,A1,retrofit,residential,0
498,2040,R1,2025,gasboiler,A1,retrofit,residential,0
499,2045,R1,2035,gasboiler,A2,retrofit,residential,0.770668544
500,2040,R1,2025,gasboiler,A3,retrofit,residential,8.80E-09
501,2055,R1,2025,gasCCGT,A1,newcapa,power,0
502,2030,R1,2030,heatpump,A1,retrofit,residential,0
503,2040,R1,2035,gasboiler,A2,retrofit,residential,0.230951679
504,2055,R1,2045,gasboiler,A1,newcapa,residential,0
505,2060,R1,2025,gasboiler,A1,retrofit,residential,0
506,2055,R1,2035,gasboiler,A2,newcapa,residential,0
507,2050,R1,2045,gasboiler,A2,newcapa,residential,0
508,2035,R1,2035,gasboiler,A2,newcapa,residential,0
509,2060,R1,2050,gasboiler,A1,retrofit,residential,0.236608172
510,2060,R1,2060,gasboiler,A3,retrofit,residential,0
511,2060,R1,2025,windturbine,A1,newcapa,power,0
512,2055,R1,2040,gasboiler,A1,newcapa,residential,0
513,2060,R1,2050,gasboiler,A2,newcapa,residential,0
514,2060,R1,2055,gasboiler,A2,newcapa,residential,0
515,2030,R1,2025,gasCCGT,A1,retrofit,power,4.01E-05
516,2055,R1,2050,gasboiler,A1,newcapa,residential,0
517,2055,R1,2050,gasboiler,A2,retrofit,residential,464.257.668.596
518,2040,R1,2040,gasboiler,A2,newcapa,residential,0
519,2025,R1,2025,gasboiler,A1,newcapa,residential,0
520,2055,R1,2025,windturbine,A1,newcapa,power,0
521,2040,R1,2035,gasboiler,A2,retrofit,residential,0
522,2050,R1,2045,gasboiler,A1,retrofit,residential,0
523,2050,R1,2025,windturbine,A1,newcapa,power,0
524,2035,R1,2025,gasboiler,A2,retrofit,residential,0
525,2050,R1,2045,gasboiler,A2,retrofit,residential,0
526,2055,R1,2050,gasboiler,A1,retrofit,residential,0
527,2045,R1,2045,gasboiler,A1,newcapa,residential,0
528,2040,R1,2040,gasboiler,A1,retrofit,residential,0
529,2055,R1,2050,gasboiler,A3,newcapa,residential,0
530,2025,R1,2025,gasboiler,A3,newcapa,residential,0
