,year,commodity,region,installed,technology,agent,category,sector,supply
282,2030,CO2f,R1,2025,gasboiler,A2,retrofit,residential,4.358.218.444.673
283,2040,CO2f,R1,2035,gassupply1,A1,retrofit,gas,130.483.493.196
284,2030,heat,R1,2025,gasboiler,A2,retrofit,residential,0.673499991
285,2055,CO2f,R1,2025,gasboiler,A1,retrofit,residential,2.46E-04
286,2040,heat,R1,2035,gasboiler,A3,retrofit,residential,0.374249996
287,2025,CO2f,R1,2025,gasboiler,A3,retrofit,residential,31.546.125
288,2030,CO2f,R1,2025,gasCCGT,A1,retrofit,power,8.25E-03
289,2040,electricity,R1,2025,windturbine,A1,retrofit,power,0.021595109
290,2050,CO2f,R1,2045,gasboiler,A1,retrofit,residential,7.105.157.926.231
291,2055,CO2f,R1,2050,gasboiler,A1,retrofit,residential,3.028.428
292,2060,CO2f,R1,2050,gasboiler,A1,retrofit,residential,4.542.642
293,2050,heat,R1,2040,gasboiler,A3,retrofit,residential,0.1755
294,2050,heat,R1,2025,gasboiler,A2,retrofit,residential,2.85E-09
295,2050,CO2f,R1,2025,gasboiler,A3,retrofit,residential,2.77E-03
296,2040,heat,R1,2035,gasboiler,A1,retrofit,residential,0.498999994
297,2040,heat,R1,2035,gasboiler,A1,retrofit,residential,0.332666663
298,2035,CO2f,R1,2030,gassupply1,A1,retrofit,gas,13.116.019.153
299,2060,heat,R1,2025,gasboiler,A1,retrofit,residential,7.60E-09
300,2030,heat,R1,2025,gasboiler,A3,retrofit,residential,0.336749996
301,2050,CO2f,R1,2025,gasboiler,A1,retrofit,residential,3.69E-03
302,2035,CO2f,R1,2025,gasboiler,A3,retrofit,residential,1.452.739.481.558
303,2040,CO2f,R1,2025,gasboiler,A3,retrofit,residential,3.69E-03
304,2025,gas,R1,2025,gassupply1,A1,retrofit,gas,1.706.565
305,2055,heat,R1,2025,gasboiler,A3,retrofit,residential,4.27E-09
306,2060,CO2f,R1,2025,gasboiler,A1,retrofit,residential,3.69E-03
307,2060,CO2f,R1,2055,gassupply1,A1,retrofit,gas,101.788.683.369
308,2040,CO2f,R1,2035,gasboiler,A2,retrofit,residential,4.843.543.444.673
309,2060,gas,R1,2050,gassupply2,A1,retrofit,gas,0.262724977
310,2035,gas,R1,2025,gassupply1,A1,retrofit,gas,0.471516682
311,2025,CO2f,R1,2025,gasboiler,A1,retrofit,residential,2.581.929
312,2045,CO2f,R1,2025,gasboiler,A2,retrofit,residential,2.77E-03
313,2035,CO2f,R1,2025,gasboiler,A1,retrofit,residential,7.38E-03
314,2050,CO2f,R1,2045,gassupply1,A1,retrofit,gas,152.683.025.053
315,2045,CO2f,R1,2035,gasboiler,A3,retrofit,residential,1.614.514.481.558
316,2050,heat,R1,2025,gasboiler,A3,retrofit,residential,5.70E-09
317,2060,heat,R1,2025,gasboiler,A3,retrofit,residential,2.85E-09
318,2055,heat,R1,2045,gasboiler,A3,retrofit,residential,0.274499997
319,2050,CO2f,R1,2045,gasboiler,A3,retrofit,residential,5.328.868.444.673
320,2055,heat,R1,2045,gasboiler,A1,retrofit,residential,0.365999996
321,2050,heat,R1,2040,gasboiler,A1,retrofit,residential,0.234
322,2030,heat,R1,2025,gasboiler,A2,retrofit,residential,0.188250004
323,2040,heat,R1,2035,gasboiler,A1,retrofit,residential,0.665333326
324,2040,gas,R1,2035,gassupply1,A1,retrofit,gas,113.636.669.673
325,2055,heat,R1,2050,gasboiler,A1,retrofit,residential,0.234
326,2040,electricity,R1,2025,windturbine,A1,retrofit,power,0.021595109
327,2060,heat,R1,2050,gasboiler,A2,retrofit,residential,0.1755
328,2035,electricity,R1,2030,windturbine,A1,retrofit,power,0.193065088
329,2035,heat,R1,2025,gasboiler,A3,retrofit,residential,5.70E-09
330,2035,heat,R1,2025,gasboiler,A1,retrofit,residential,7.60E-09
331,2025,CO2f,R1,2025,gasboiler,A3,retrofit,residential,31.546.125
332,2060,heat,R1,2055,gasboiler,A1,retrofit,residential,0.548999994
333,2045,heat,R1,2040,gasboiler,A2,retrofit,residential,0.5265
334,2035,electricity,R1,2025,windturbine,A1,retrofit,power,0.029537377
335,2040,heat,R1,2030,heatpump,A1,retrofit,residential,0.301
336,2035,heat,R1,2025,gasboiler,A3,retrofit,residential,0.336749996
337,2030,heat,R1,2025,gasboiler,A2,retrofit,residential,0.376500009
338,2055,CO2f,R1,2050,gasboiler,A1,retrofit,residential,2.271.321
339,2025,CO2f,R1,2025,gasCCGT,A1,retrofit,power,412.515
340,2035,CO2f,R1,2025,gasboiler,A1,retrofit,residential,387.397.195.082
341,2025,CO2f,R1,2025,gasCCGT,A1,retrofit,power,6.187.725
342,2060,CO2f,R1,2055,gassupply1,A1,retrofit,gas,203.577.366.737
343,2050,CO2f,R1,2040,gasboiler,A2,retrofit,residential,34.069.815
344,2060,gas,R1,2050,gassupply1,A1,retrofit,gas,1.35
345,2055,CO2f,R1,2025,gasboiler,A1,retrofit,residential,3.69E-03
346,2030,CO2f,R1,2025,gasboiler,A1,retrofit,residential,3.69E-03
347,2055,CO2f,R1,2050,gasboiler,A3,retrofit,residential,34.069.815
348,2030,CO2f,R1,2025,gasboiler,A3,retrofit,residential,2.436.331.555.327
349,2050,heat,R1,2025,gasboiler,A2,retrofit,residential,2.85E-09
350,2030,heat,R1,2025,gasboiler,A1,retrofit,residential,0.448999994
351,2050,heat,R1,2025,gasboiler,A1,retrofit,residential,7.60E-09
352,2035,CO2f,R1,2030,gassupply1,A1,retrofit,gas,0.874401277
353,2030,CO2f,R1,2025,gassupply1,A1,retrofit,gas,21.057.710.418
354,2025,heat,R1,2025,gasboiler,A1,retrofit,residential,0.798
355,2035,CO2f,R1,2025,gasboiler,A3,retrofit,residential,2.77E-03
356,2060,CO2f,R1,2055,gassupply1,A1,retrofit,gas,101.788.683.369
357,2030,heat,R1,2025,gasboiler,A2,retrofit,residential,0.224499997
358,2055,gas,R1,2050,gassupply1,A1,retrofit,gas,0.9
