,year,commodity,region,installed,technology,agent,category,sector,consumption
235,2060,gas,R1,2055,gasboiler,A2,retrofit,residential,0.318419997
236,2060,gas,R1,2055,gasboiler,A3,retrofit,residential,0.318419997
237,2040,gas,R1,2024,gasboiler,A2,retrofit,residential,6.61E-09
238,2050,gas,R1,2040,gasboiler,A1,retrofit,residential,0.54288
239,2025,wind,R1,2024,windturbine,A1,retrofit,power,0.0329
240,2030,gas,R1,2024,gasboiler,A2,retrofit,residential,0.291160007
241,2055,gas,R1,2024,gasboiler,A3,retrofit,residential,4.96E-09
242,2040,electricity,R1,2030,heatpump,A1,retrofit,residential,0.080266667
243,2025,gas,R1,2024,gasboiler,A2,retrofit,residential,0.5655
244,2050,gas,R1,2040,gasboiler,A2,retrofit,residential,0.40716
245,2035,gas,R1,2025,gasboiler,A2,retrofit,residential,0.520839993
246,2050,gas,R1,2040,gasboiler,A1,retrofit,residential,0.81432
247,2045,gas,R1,2035,gasboiler,A3,retrofit,residential,0.578839993
248,2055,gas,R1,2050,gasboiler,A3,retrofit,residential,0.20358
249,2025,gas,R1,2024,gasboiler,A2,retrofit,residential,0.5655
250,2030,gas,R1,2024,gasboiler,A2,retrofit,residential,0.218370005
251,2040,electricity,R1,2030,heatpump,A1,retrofit,residential,0.2408
252,2025,gas,R1,2024,gasboiler,A3,retrofit,residential,0.377
253,2055,gas,R1,2050,gasboiler,A2,retrofit,residential,0.20358
254,2025,electricity,R1,2024,heatpump,A1,retrofit,residential,0.2008
255,2035,electricity,R1,2030,heatpump,A1,retrofit,residential,0.160533333
256,2030,gas,R1,2025,gasboiler,A2,retrofit,residential,0.260419997
257,2040,gas,R1,2035,gasboiler,A2,retrofit,residential,0.86825999
258,2060,gas,R1,2050,gasboiler,A2,retrofit,residential,0.30537
259,2025,electricity,R1,2024,heatpump,A1,retrofit,residential,0.133866667
260,2035,wind,R1,2025,windturbine,A1,retrofit,power,0.059074755
261,2035,gas,R1,2024,gasCCGT,A1,retrofit,power,1.48E-08
262,2050,gas,R1,2040,gasboiler,A2,retrofit,residential,0.30537
263,2030,gas,R1,2024,gasboiler,A2,retrofit,residential,0.145580003
264,2060,gas,R1,2024,gasboiler,A1,retrofit,residential,6.61E-09
265,2040,wind,R1,2025,windturbine,A1,retrofit,power,0.044306066
266,2060,gas,R1,2055,gasboiler,A3,retrofit,residential,0.477629995
